Agency Code,Agency Name,Bureau Code,Bureau Name,Account Code,Account Name,Treasury Agency Code,Subfunction Code,Subfunction Title,BEA Category,On- or Off- Budget,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
001,Legislative Branch,00,Legislative Branch,,"Receipts, Central fiscal operations",,803,Central fiscal operations,Mandatory,On-budget,-287,-132,-429,-385,-726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,00,Legislative Branch,,"Receipts, Central fiscal operations",,908,Other interest,Net interest,On-budget,-30,-17,-104,-61,-548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,00,Legislative Branch,241400,Charges for services to trust funds,,803,Central fiscal operations,Mandatory,On-budget,-28,-31,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0000,Senate,00,801,Legislative functions,Discretionary,On-budget,"126,428","36,115","154,249","166,424","215,918","214,602","160,310","227,030","248,764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0100,"Compensation of Members, Senate",00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,"8,793","8,578","8,976","9,776","10,800","11,676","17,675","17,675","17,675","17,656","18,015","18,000","17,000","17,000","17,000","18,000","18,000","18,000","19,000","20,000","21,000","21,000","22,000","23,000","23,000","23,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000"
001,Legislative Branch,05,Senate,0101,Mileage of the Vice President and Senators,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,60,60,57,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0107,"Expense allowances of the Vice President, President Pro Tempore, Majority and Minority Leaders and Majority and Minority Whips",00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,50,56,54,73,71,66,70,68,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0108,Representation allowances for the Majority and Minority Leaders,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,20,19,3,5,10,16,18,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0110,"Salaries, Officers and Employees",00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"162,245","172,342","165,277","190,895","97,425","51,576","55,110","62,213","69,382","66,143","70,052","65,000","59,000","64,000","72,000","81,000","82,000","87,000","96,000","117,000","125,000","135,000","147,000","148,000","158,000","172,000","179,000","186,000","176,000","166,000","173,000","178,000","186,000","190,000","194,000","195,000","197,000"
001,Legislative Branch,05,Senate,0115,Payments to widows and heirs of deceased members of Congress,00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,70,0,0,165,0,0,98,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
